Freq.	V(feedb)/V(inv)
1.00000000000000e+002	(1.18298902432469e+002dB,5.46985730970574e+000°)
1.00115195553817e+002	(1.18279303050852e+002dB,5.46374852009073e+000°)
1.00230523807790e+002	(1.18259702770877e+002dB,5.45764591311271e+000°)
1.00345984914784e+002	(1.18240101596564e+002dB,5.45154949230956e+000°)
1.00461579027840e+002	(1.18220499515495e+002dB,5.44545923960313e+000°)
1.00577306300174e+002	(1.18200896538643e+002dB,5.43937515025037e+000°)
1.00693166885180e+002	(1.18181292670330e+002dB,5.43329723170201e+000°)
1.00809160936430e+002	(1.18161687906661e+002dB,5.42722547286123e+000°)
1.00925288607668e+002	(1.18142082257576e+002dB,5.42115987049965e+000°)
1.01041550052821e+002	(1.18122475708794e+002dB,5.41510041285182e+000°)
1.01157945425990e+002	(1.18102868281539e+002dB,5.40904710876581e+000°)
1.01274474881453e+002	(1.18083259967680e+002dB,5.40299994074590e+000°)
1.01391138573668e+002	(1.18063650769280e+002dB,5.39695890967112e+000°)
1.01507936657269e+002	(1.18044040685638e+002dB,5.39092400727339e+000°)
1.01624869287070e+002	(1.18024429726455e+002dB,5.38489523708857e+000°)
1.01741936618061e+002	(1.18004817887212e+002dB,5.37887258706723e+000°)
1.01859138805412e+002	(1.17985205176808e+002dB,5.37285605808877e+000°)
1.01976476004472e+002	(1.17965591584047e+002dB,5.36684563623303e+000°)
1.02093948370768e+002	(1.17945977121326e+002dB,5.36084132840055e+000°)
1.02211556060007e+002	(1.17926361792759e+002dB,5.35484312407229e+000°)
1.02329299228076e+002	(1.17906745598099e+002dB,5.34885101908144e+000°)
1.02447178031038e+002	(1.17887128532281e+002dB,5.34286500793556e+000°)
1.02565192625141e+002	(1.17867510601076e+002dB,5.33688508702721e+000°)
1.02683343166809e+002	(1.17847891809790e+002dB,5.33091125295443e+000°)
1.02801629812648e+002	(1.17828272158896e+002dB,5.32494350021037e+000°)
1.02920052719443e+002	(1.17808651641175e+002dB,5.31898182255774e+000°)
1.03038612044162e+002	(1.17789030277694e+002dB,5.31302621892229e+000°)
1.03157307943951e+002	(1.17769408052153e+002dB,5.30707667924718e+000°)
1.03276140576140e+002	(1.17749784975438e+002dB,5.30113320250007e+000°)
1.03395110098237e+002	(1.17730161047933e+002dB,5.29519578633450e+000°)
1.03514216667935e+002	(1.17710536269686e+002dB,5.28926442117937e+000°)
1.03633460443104e+002	(1.17690910636328e+002dB,5.28333909939327e+000°)
1.03752841581801e+002	(1.17671284165267e+002dB,5.27741982752413e+000°)
1.03872360242262e+002	(1.17651656846464e+002dB,5.27150659135980e+000°)
1.03992016582906e+002	(1.17632028688961e+002dB,5.26559939290713e+000°)
1.04111810762334e+002	(1.17612399687471e+002dB,5.25969821967899e+000°)
1.04231742939331e+002	(1.17592769850223e+002dB,5.25380307526231e+000°)
1.04351813272863e+002	(1.17573139168535e+002dB,5.24791394563368e+000°)
1.04472021922080e+002	(1.17553507666479e+002dB,5.24203083981284e+000°)
1.04592369046317e+002	(1.17533875314577e+002dB,5.23615373734757e+000°)
1.04712854805090e+002	(1.17514242139872e+002dB,5.23028264621171e+000°)
1.04833479358100e+002	(1.17494608137527e+002dB,5.22441755493077e+000°)
1.04954242865233e+002	(1.17474973306110e+002dB,5.21855846296407e+000°)
1.05075145486555e+002	(1.17455337640413e+002dB,5.21270535889144e+000°)
1.05196187382323e+002	(1.17435701150553e+002dB,5.20685824080994e+000°)
1.05317368712972e+002	(1.17416063851014e+002dB,5.20101710986748e+000°)
1.05438689639126e+002	(1.17396425725898e+002dB,5.19518195957780e+000°)
1.05560150321593e+002	(1.17376786774506e+002dB,5.18935277782818e+000°)
1.05681750921366e+002	(1.17357147010681e+002dB,5.18352956568261e+000°)
1.05803491599623e+002	(1.17337506427153e+002dB,5.17771231565280e+000°)
1.05925372517729e+002	(1.17317865038409e+002dB,5.17190102757580e+000°)
1.06047393837234e+002	(1.17298222833303e+002dB,5.16609569670967e+000°)
1.06169555719873e+002	(1.17278579817437e+002dB,5.16029631253743e+000°)
1.06291858327569e+002	(1.17258935991708e+002dB,5.15450287025302e+000°)
1.06414301822432e+002	(1.17239291362667e+002dB,5.14871537472954e+000°)
1.06536886366757e+002	(1.17219645927129e+002dB,5.14293381264596e+000°)
1.06659612123026e+002	(1.17199999686478e+002dB,5.13715818016465e+000°)
1.06782479253910e+002	(1.17180352647817e+002dB,5.13138847517904e+000°)
1.06905487922266e+002	(1.17160704802926e+002dB,5.12562468836519e+000°)
1.07028638291139e+002	(1.17141056165080e+002dB,5.11986682142418e+000°)
1.07151930523761e+002	(1.17121406731109e+002dB,5.11411486787492e+000°)
1.07275364783553e+002	(1.17101756503275e+002dB,5.10836881899631e+000°)
1.07398941234125e+002	(1.17082105473217e+002dB,5.10262867272373e+000°)
