Freq.,Vfeeb/Vvinm
1.00000000000000e+002,1.14439279946053e+002,7.03970558014394e+000
1.00115195553817e+002,1.14419581149099e+002,7.03181937664649e+000
1.00230523807790e+002,1.14399881658531e+002,7.02394155529305e+000
1.00345984914784e+002,1.14380181484648e+002,7.01607211856486e+000
1.00461579027840e+002,1.14360480627352e+002,7.00821105458967e+000
1.00577306300174e+002,1.14340779089285e+002,7.00035835664939e+000
1.00693166885180e+002,1.14321076870905e+002,6.99251401820222e+000
1.00809160936430e+002,1.14301373972557e+002,6.98467803196991e+000
1.00925288607668e+002,1.14281670396903e+002,6.97685039178067e+000
1.01041550052821e+002,1.14261966142395e+002,6.96903108833476e+000
1.01157945425990e+002,1.14242261215913e+002,6.96122011121308e+000
1.01274474881453e+002,1.14222555616435e+002,6.95341746040704e+000
1.01391138573668e+002,1.14202849350330e+002,6.94562312722885e+000
1.01507936657269e+002,1.14183142408516e+002,6.93783709823193e+000
1.01624869287070e+002,1.14163434797230e+002,6.93005937048288e+000
1.01741936618061e+002,1.14143726516538e+002,6.92228993416135e+000
1.01859138805412e+002,1.14124017576314e+002,6.91452878657711e+000
1.01976476004472e+002,1.14104307965369e+002,6.90677591636435e+000
1.02093948370768e+002,1.14084597696761e+002,6.89903131852204e+000
1.02211556060007e+002,1.14064886761658e+002,6.89129498252648e+000
1.02329299228076e+002,1.14045175170426e+002,6.88356690717320e+000
1.02447178031038e+002,1.14025462918053e+002,6.87584707861582e+000
1.02565192625141e+002,1.14005750008722e+002,6.86813549383227e+000
1.02683343166809e+002,1.13986036443276e+002,6.86043214298807e+000
1.02801629812648e+002,1.13966322220076e+002,6.85273701549688e+000
1.02920052719443e+002,1.13946607348763e+002,6.84505011285204e+000
1.03038612044162e+002,1.13926891821871e+002,6.83737142098162e+000
1.03157307943951e+002,1.13907175648532e+002,6.82970093893470e+000
1.03276140576140e+002,1.13887458817301e+002,6.82203864553270e+000
1.03395110098237e+002,1.13867741347221e+002,6.81438455210249e+000
1.03514216667935e+002,1.13848023231061e+002,6.80673864062629e+000
1.03633460443104e+002,1.13828304465540e+002,6.79910090319840e+000
1.03752841581801e+002,1.13808585058619e+002,6.79147133595350e+000
1.03872360242262e+002,1.13788865009545e+002,6.78384993098689e+000
1.03992016582906e+002,1.13769144320290e+002,6.77623668150355e+000
1.04111810762334e+002,1.13749422990995e+002,6.76863157781683e+000
1.04231742939331e+002,1.13729701022517e+002,6.76103461214486e+000
1.04351813272863e+002,1.13709978418926e+002,6.75344577989932e+000
1.04472021922080e+002,1.13690255178025e+002,6.74586507228309e+000
